MICROPHONE,ORIENTATION,SOUND,ANGLE,ANSWER,PERSON
ZYLIA,ELEVATION,DUCK,-150,,2
ZYLIA,ELEVATION,DUCK,105,,2
ZYLIA,ELEVATION,DUCK,-135,,2
ZYLIA,ELEVATION,DUCK,30,,2
ZYLIA,ELEVATION,DUCK,135,,2
ZYLIA,AZIMUTH,NOISE,0,,2
ZYLIA,AZIMUTH,NOISE,90,,2
ZYLIA,AZIMUTH,NOISE,-90,,2
ZYLIA,AZIMUTH,NOISE,150,,2
ZYLIA,AZIMUTH,NOISE,30,,2
ZYLIA,AZIMUTH,NOISE,-150,,2
ZYLIA,AZIMUTH,NOISE,180,,2
ZYLIA,AZIMUTH,NOISE,-30,,2
ZYLIA,ELEVATION,NOISE,-15,,2
ZYLIA,ELEVATION,NOISE,90,,2
ZYLIA,ELEVATION,NOISE,-45,,2
ZYLIA,ELEVATION,NOISE,-150,,2
ZYLIA,ELEVATION,NOISE,105,,2
ZYLIA,ELEVATION,NOISE,-135,,2
ZYLIA,ELEVATION,NOISE,30,,2
ZYLIA,ELEVATION,NOISE,135,,2
ZYLIA,AZIMUTH,ANGRY,0,,2
ZYLIA,AZIMUTH,ANGRY,90,,2
ZYLIA,AZIMUTH,ANGRY,-90,,2
ZYLIA,AZIMUTH,ANGRY,150,,2
ZYLIA,AZIMUTH,ANGRY,30,,2
ZYLIA,AZIMUTH,ANGRY,-150,,2
ZYLIA,AZIMUTH,ANGRY,180,,2
ZYLIA,AZIMUTH,ANGRY,-30,,2
ZYLIA,ELEVATION,SWEET,-15,,2
ZYLIA,ELEVATION,SWEET,90,,2
ZYLIA,ELEVATION,SWEET,-45,,2
ZYLIA,ELEVATION,SWEET,-150,,2
ZYLIA,ELEVATION,SWEET,105,,2
ZYLIA,ELEVATION,SWEET,-135,,2
ZYLIA,ELEVATION,SWEET,30,,2
ZYLIA,ELEVATION,SWEET,135,,2
BINAURAL,AZIMUTH,TRUMPET,0,-140,3
BINAURAL,AZIMUTH,TRUMPET,90,180,3
BINAURAL,AZIMUTH,TRUMPET,-90,-170,3
BINAURAL,AZIMUTH,TRUMPET,150,140,3
BINAURAL,AZIMUTH,TRUMPET,30,162,3
BINAURAL,AZIMUTH,TRUMPET,-150,-152,3
BINAURAL,AZIMUTH,TRUMPET,180,174,3
BINAURAL,AZIMUTH,TRUMPET,-30,-170,3
BINAURAL,ELEVATION,DUCK,-15,145,3
BINAURAL,ELEVATION,DUCK,90,-174,3
BINAURAL,ELEVATION,DUCK,-45,-164,3
BINAURAL,ELEVATION,DUCK,-150,175,3
BINAURAL,ELEVATION,DUCK,105,160,3
BINAURAL,ELEVATION,DUCK,-135,165,3
BINAURAL,ELEVATION,DUCK,30,165,3
BINAURAL,ELEVATION,DUCK,135,152,3
BINAURAL,AZIMUTH,NOISE,0,-155,3
BINAURAL,AZIMUTH,NOISE,90,155,3
BINAURAL,AZIMUTH,NOISE,-90,165,3
BINAURAL,AZIMUTH,NOISE,150,111,3
BINAURAL,AZIMUTH,NOISE,30,135,3
BINAURAL,AZIMUTH,NOISE,-150,125,3
BINAURAL,AZIMUTH,NOISE,180,140,3
BINAURAL,AZIMUTH,NOISE,-30,140,3
BINAURAL,ELEVATION,NOISE,-15,-145,3
BINAURAL,ELEVATION,NOISE,90,-167,3
BINAURAL,ELEVATION,NOISE,-45,-178,3
BINAURAL,ELEVATION,NOISE,-150,175,3
BINAURAL,ELEVATION,NOISE,105,165,3
BINAURAL,ELEVATION,NOISE,-135,156,3
BINAURAL,ELEVATION,NOISE,30,180,3
BINAURAL,ELEVATION,NOISE,135,150,3
BINAURAL,AZIMUTH,ANGRY,0,110,3
BINAURAL,AZIMUTH,ANGRY,90,128,3
BINAURAL,AZIMUTH,ANGRY,-90,128,3
